"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"415" "UCLA Bruins" "422" 1920 2015 "96" "2604" "1800" "804" ".691" "13.96" "8.00" "40" "31" "4" "46" "18" "11" "http://www.sports-reference.com/cbb/schools/ucla/"
"416" "Union (NY) Dutchmen" "423" 1907 1925 "19" "266" "162" "104" ".609" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/union-ny/"
"417" "Utah State Aggies" "424" 1904 2015 "110" "2586" "1526" "1060" ".590" "4.78" "1.39" "4" "15" "8" "20" "0" "0" "http://www.sports-reference.com/cbb/schools/utah-state/"
"418" "Utah Utes" "425" 1909 2015 "107" "2679" "1727" "952" ".645" "8.71" "4.50" "19" "31" "5" "27" "4" "1" "http://www.sports-reference.com/cbb/schools/utah/"
"419" "Utah Valley Wolverines" "426" 2010 2015 "6" "183" "95" "88" ".519" "-9.58" "-6.86" "0" "3" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/utah-valley/"
"420" "Utica Pioneers" "427" 1982 1987 "6" "158" "64" "94" ".405" "-12.95" "-7.35" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/utica/"
"421" "Valparaiso Crusaders" "428" 1918 2015 "80" "1993" "1042" "951" ".523" "-3.62" "-2.16" "0" "11" "9" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/valparaiso/"
"422" "Vanderbilt Commodores" "429" 1901 2015 "113" "2632" "1541" "1091" ".585" "10.17" "7.36" "11" "3" "3" "13" "0" "0" "http://www.sports-reference.com/cbb/schools/vanderbilt/"
"423" "Vermont Catamounts" "430" 1921 2015 "60" "1596" "814" "782" ".510" "-6.82" "-6.07" "0" "7" "5" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/vermont/"
"424" "Villanova Wildcats" "431" 1921 2015 "95" "2553" "1642" "911" ".643" "12.32" "7.87" "18" "9" "3" "34" "4" "1" "http://www.sports-reference.com/cbb/schools/villanova/"
"425" "Virginia Cavaliers" "432" 1906 2015 "110" "2649" "1508" "1140" ".569" "12.69" "8.52" "8" "7" "2" "18" "2" "0" "http://www.sports-reference.com/cbb/schools/virginia/"
"426" "Virginia Commonwealth Rams" "433" 1974 2015 "42" "1271" "819" "452" ".644" "5.60" "1.33" "2" "9" "8" "13" "1" "0" "http://www.sports-reference.com/cbb/schools/virginia-commonwealth/"
"427" "Virginia Military Institute Keydets" "434" 1909 2015 "107" "2305" "862" "1443" ".374" "-11.66" "-4.38" "1" "2" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/virginia-military-institute/"
"428" "Virginia Tech Hokies" "435" 1909 2015 "107" "2542" "1374" "1168" ".541" "6.21" "4.70" "1" "2" "1" "8" "0" "0" "http://www.sports-reference.com/cbb/schools/virginia-tech/"
"429" "Wabash Little Giants" "436" 1897 1925 "29" "407" "301" "106" ".740" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wabash/"
"430" "Wagner Seahawks" "437" 1966 2015 "43" "1221" "582" "639" ".477" "-9.75" "-7.51" "0" "1" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/wagner/"
"431" "Wake Forest Demon Deacons" "438" 1906 2015 "109" "2642" "1484" "1158" ".562" "11.25" "8.23" "17" "4" "5" "22" "1" "0" "http://www.sports-reference.com/cbb/schools/wake-forest/"
"432" "Washburn Ichabods" "439" 1906 1941 "35" "557" "270" "283" ".488" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/washburn/"
"433" "Washington & Jefferson Presidents" "440" 1913 1944 "10" "128" "73" "55" ".570" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/washington-jefferson/"
"434" "Washington & Lee Generals" "441" 1907 1959 "51" "905" "472" "432" ".522" "" "" "0" "3" "2" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/washington-lee/"
"435" "Washington (MO) Bears" "442" 1905 1960 "52" "921" "433" "488" ".470" "" "" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/washington-mo/"
"436" "Washington College Shoremen" "443" 1913 1925 "13" "151" "109" "42" ".722" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/washington-college/"
"437" "Washington Huskies" "444" 1896 2015 "114" "2842" "1719" "1123" ".605" "8.09" "7.15" "8" "11" "3" "16" "1" "0" "http://www.sports-reference.com/cbb/schools/washington/"
"438" "Washington State Cougars" "445" 1902 2015 "114" "2989" "1546" "1443" ".517" "5.76" "6.18" "3" "2" "0" "6" "1" "0" "http://www.sports-reference.com/cbb/schools/washington-state/"
"439" "Wayne State (MI) Warriors" "446" 1928 1950 "5" "104" "47" "57" ".452" "" "" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/wayne-state-mi/"
"440" "Weber State Wildcats" "447" 1964 2015 "52" "1511" "953" "558" ".631" "0.21" "-1.58" "1" "21" "9" "15" "0" "0" "http://www.sports-reference.com/cbb/schools/weber-state/"
"441" "Wesleyan (CT) Cardinals" "448" 1896 1913 "13" "171" "97" "74" ".567" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wesleyan-ct/"
"442" "West Chester Golden Rams" "449" 1899 1982 "10" "244" "86" "158" ".352" "-18.03" "-7.63" "0" "1" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/west-chester/"
"443" "West Texas A&M Buffaloes" "450" 1921 1986 "54" "1275" "707" "568" ".555" "-0.41" "3.10" "0" "4" "0" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/west-texas-am/"
"444" "West Virginia Mountaineers" "451" 1904 2015 "106" "2718" "1672" "1046" ".615" "9.38" "5.12" "13" "16" "13" "25" "2" "0" "http://www.sports-reference.com/cbb/schools/west-virginia/"
"445" "Western Carolina Catamounts" "452" 1977 2015 "39" "1130" "503" "627" ".445" "-8.31" "-4.00" "0" "3" "1" "1" "0" "0" "http://www.sports-reference.com/cbb/schools/western-carolina/"
"446" "Western Illinois Leathernecks" "453" 1982 2015 "34" "973" "414" "559" ".425" "-8.30" "-3.78" "0" "2" "1" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/western-illinois/"
"447" "Western Kentucky Hilltoppers" "454" 1922 2015 "94" "2572" "1708" "864" ".664" "3.15" "-0.03" "11" "28" "19" "23" "1" "0" "http://www.sports-reference.com/cbb/schools/western-kentucky/"
"448" "Western Michigan Broncos" "455" 1914 2015 "102" "2413" "1286" "1127" ".533" "-1.29" "0.10" "1" "10" "2" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/western-michigan/"
"449" "Western State Mountaineers" "456" 1924 1937 "14" "189" "88" "101" ".466" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/western-state/"
"450" "Westminster (MO) Blue Jays" "457" 1920 1920 "1" "17" "17" "0" "1.000" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/westminster-mo/"
"451" "Westminster (PA) Titans" "458" 1898 1935 "21" "294" "210" "84" ".714" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/westminster-pa/"
"452" "Wheaton (IL) Thunder" "459" 1902 1905 "4" "57" "39" "17" ".696" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wheaton-il/"
"453" "Whittier Poets" "460" 1909 1915 "3" "42" "38" "3" ".927" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/whittier/"
"454" "Wichita State Shockers" "461" 1906 2015 "108" "2640" "1476" "1164" ".559" "5.78" "2.80" "5" "8" "3" "11" "2" "0" "http://www.sports-reference.com/cbb/schools/wichita-state/"
"455" "Widener Pride" "462" 1899 1909 "5" "26" "20" "6" ".769" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/widener/"
"456" "William & Mary Tribe" "463" 1906 2015 "110" "2505" "1159" "1346" ".463" "-4.98" "-1.43" "0" "2" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/william-mary/"
"457" "Williams Ephs" "464" 1901 1911 "10" "161" "136" "24" ".850" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/williams/"
"458" "Winthrop Eagles" "465" 1987 2015 "29" "863" "446" "417" ".517" "-8.75" "-6.98" "1" "7" "10" "9" "0" "0" "http://www.sports-reference.com/cbb/schools/winthrop/"
"459" "Wisconsin-Stevens Point Pointers" "467" 1898 1918 "21" "156" "98" "58" ".628" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wisconsin-stevens-point/"
"460" "Wisconsin-Superior Yellowjackets" "468" 1900 1901 "2" "14" "10" "4" ".714" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wisconsin-superior/"
"461" "Wisconsin Badgers" "466" 1899 2015 "117" "2676" "1516" "1160" ".567" "11.85" "8.59" "13" "17" "2" "20" "3" "1" "http://www.sports-reference.com/cbb/schools/wisconsin/"
"462" "Wittenberg Tigers" "469" 1931 1931 "1" "20" "18" "2" ".900" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wittenberg/"
"463" "Wofford Terriers" "470" 1996 2015 "20" "597" "280" "317" ".469" "-6.97" "-3.05" "0" "2" "3" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/wofford/"
"464" "Wooster Fighting Scots" "471" 1901 1931 "31" "390" "225" "165" ".577" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/wooster/"
"465" "Worcester Tech Engineers" "472" 1920 1920 "1" "16" "14" "2" ".875" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/worcester-tech/"
"466" "Wright State Raiders" "473" 1988 2015 "28" "831" "442" "389" ".532" "-2.01" "-2.02" "0" "2" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/wright-state/"
"467" "Wyoming Cowboys" "474" 1905 2015 "110" "2578" "1468" "1110" ".569" "4.89" "3.10" "4" "21" "2" "14" "1" "1" "http://www.sports-reference.com/cbb/schools/wyoming/"
"468" "Xavier Musketeers" "475" 1920 2015 "94" "2344" "1385" "959" ".591" "9.02" "2.82" "10" "17" "9" "24" "0" "0" "http://www.sports-reference.com/cbb/schools/xavier/"
"469" "Yale Elis" "476" 1896 2015 "120" "2836" "1398" "1436" ".493" "-7.82" "-5.75" "1" "12" "0" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/yale/"
"470" "Youngstown State Penguins" "477" 1948 2015 "35" "999" "388" "611" ".388" "-8.27" "-3.30" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/youngstown-state/"
