"team_name" "Rk" "From" "To" "Yrs" "G" "W" "L" "W.L." "SRS" "SOS" "AP" "CREG" "CTRN" "NCAA" "FF" "NC" "paste_url"
"79" "Cincinnati Bearcats" "82" 1902 2015 "114" "2670" "1690" "980" ".633" "11.59" "6.23" "22" "23" "10" "28" "6" "2" "http://www.sports-reference.com/cbb/schools/cincinnati/"
"80" "Citadel Bulldogs" "83" 1913 2015 "103" "2232" "951" "1281" ".426" "-10.89" "-4.25" "0" "0" "0" "0" "0" "0" "http://www.sports-reference.com/cbb/schools/citadel/"
"81" "City College of New York Beavers" "84" 1906 1953 "48" "725" "517" "208" ".713" "" "" "0" "1" "0" "2" "2" "1" "http://www.sports-reference.com/cbb/schools/city-college-of-new-york/"
"82" "Clemson Tigers" "85" 1912 2015 "104" "2499" "1251" "1246" ".501" "10.50" "6.95" "5" "1" "1" "11" "0" "0" "http://www.sports-reference.com/cbb/schools/clemson/"
"83" "Cleveland State Vikings" "86" 1973 2015 "43" "1243" "639" "604" ".514" "-1.34" "-1.27" "0" "4" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/cleveland-state/"
"84" "Coastal Carolina Chanticleers" "87" 1987 2015 "29" "847" "428" "419" ".505" "-9.16" "-6.98" "0" "7" "4" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/coastal-carolina/"
"85" "Colgate Raiders" "88" 1901 2015 "115" "2547" "1211" "1336" ".475" "-11.27" "-6.02" "0" "3" "2" "2" "0" "0" "http://www.sports-reference.com/cbb/schools/colgate/"
"86" "College of Charleston Cougars" "89" 1992 2015 "24" "739" "516" "223" ".698" "0.94" "-4.71" "2" "12" "3" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/college-of-charleston/"
"87" "College of New Jersey Lions" "90" 1900 1900 "1" "5" "3" "2" ".600" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/college-of-new-jersey/"
"88" "Colorado Buffaloes" "91" 1902 2015 "112" "2385" "1232" "1153" ".517" "5.69" "7.05" "5" "19" "1" "13" "2" "0" "http://www.sports-reference.com/cbb/schools/colorado/"
"89" "Colorado College Tigers" "92" 1915 1937 "23" "376" "233" "143" ".620" "" "" "0" "7" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/colorado-college/"
"90" "Colorado School of Mines Orediggers" "93" 1908 1937 "28" "282" "80" "202" ".284" "" "" "0" "2" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/colorado-school-of-mines/"
"91" "Colorado State Rams" "94" 1902 2015 "111" "2398" "1197" "1201" ".499" "3.39" "3.39" "0" "6" "1" "10" "0" "0" "http://www.sports-reference.com/cbb/schools/colorado-state/"
"92" "Columbia Lions" "95" 1901 2015 "115" "2497" "1248" "1249" ".500" "-10.02" "-5.63" "2" "13" "0" "3" "0" "0" "http://www.sports-reference.com/cbb/schools/columbia/"
"93" "Concordia Seminary Preachers" "96" 1907 1923 "2" "16" "14" "2" ".875" "" "" "0" "0" "0" "" "" "" "http://www.sports-reference.com/cbb/schools/concordia-seminary/"
"94" "Connecticut Huskies" "97" 1901 2015 "109" "2469" "1579" "890" ".640" "13.60" "6.45" "16" "27" "7" "31" "5" "4" "http://www.sports-reference.com/cbb/schools/connecticut/"
"95" "Coppin State Eagles" "98" 1986 2015 "30" "900" "445" "455" ".494" "-9.57" "-8.34" "0" "10" "4" "4" "0" "0" "http://www.sports-reference.com/cbb/schools/coppin-state/"
"96" "Cornell Big Red" "99" 1899 2015 "117" "2583" "1216" "1367" ".471" "-8.42" "-5.01" "0" "8" "0" "5" "0" "0" "http://www.sports-reference.com/cbb/schools/cornell/"
"97" "Creighton Bluejays" "101" 1912 2015 "95" "2438" "1474" "964" ".605" "5.33" "3.26" "4" "15" "12" "19" "0" "0" "http://www.sports-reference.com/cbb/schools/creighton/"
