"V1" "seasons.V1" "seasons_url" "season"
"113" "Alcorn State Braves" "2009-10" "http://www.sports-reference.com/cbb/schools/alcorn-state/2010.html" 2009
"114" "Alcorn State Braves" "2008-09" "http://www.sports-reference.com/cbb/schools/alcorn-state/2009.html" 2008
"115" "Alcorn State Braves" "2007-08" "http://www.sports-reference.com/cbb/schools/alcorn-state/2008.html" 2007
"116" "Alcorn State Braves" "2006-07" "http://www.sports-reference.com/cbb/schools/alcorn-state/2007.html" 2006
"117" "Alcorn State Braves" "2005-06" "http://www.sports-reference.com/cbb/schools/alcorn-state/2006.html" 2005
"118" "Alcorn State Braves" "2004-05" "http://www.sports-reference.com/cbb/schools/alcorn-state/2005.html" 2004
"119" "Alcorn State Braves" "2003-04" "http://www.sports-reference.com/cbb/schools/alcorn-state/2004.html" 2003
"120" "Alcorn State Braves" "2002-03" "http://www.sports-reference.com/cbb/schools/alcorn-state/2003.html" 2002
"121" "Alcorn State Braves" "2001-02" "http://www.sports-reference.com/cbb/schools/alcorn-state/2002.html" 2001
"122" "Alcorn State Braves" "2000-01" "http://www.sports-reference.com/cbb/schools/alcorn-state/2001.html" 2000
"123" "American Eagles" "2014-15" "http://www.sports-reference.com/cbb/schools/american/2015.html" 2014
"124" "American Eagles" "2013-14" "http://www.sports-reference.com/cbb/schools/american/2014.html" 2013
"125" "American Eagles" "2012-13" "http://www.sports-reference.com/cbb/schools/american/2013.html" 2012
"126" "American Eagles" "2011-12" "http://www.sports-reference.com/cbb/schools/american/2012.html" 2011
"127" "American Eagles" "2010-11" "http://www.sports-reference.com/cbb/schools/american/2011.html" 2010
"128" "American Eagles" "2009-10" "http://www.sports-reference.com/cbb/schools/american/2010.html" 2009
"129" "American Eagles" "2008-09" "http://www.sports-reference.com/cbb/schools/american/2009.html" 2008
"130" "American Eagles" "2007-08" "http://www.sports-reference.com/cbb/schools/american/2008.html" 2007
"131" "American Eagles" "2006-07" "http://www.sports-reference.com/cbb/schools/american/2007.html" 2006
"132" "American Eagles" "2005-06" "http://www.sports-reference.com/cbb/schools/american/2006.html" 2005
"133" "American Eagles" "2004-05" "http://www.sports-reference.com/cbb/schools/american/2005.html" 2004
"134" "American Eagles" "2003-04" "http://www.sports-reference.com/cbb/schools/american/2004.html" 2003
"135" "American Eagles" "2002-03" "http://www.sports-reference.com/cbb/schools/american/2003.html" 2002
"136" "American Eagles" "2001-02" "http://www.sports-reference.com/cbb/schools/american/2002.html" 2001
"137" "American Eagles" "2000-01" "http://www.sports-reference.com/cbb/schools/american/2001.html" 2000
"138" "Appalachian State Mountaineers" "2014-15" "http://www.sports-reference.com/cbb/schools/appalachian-state/2015.html" 2014
"139" "Appalachian State Mountaineers" "2013-14" "http://www.sports-reference.com/cbb/schools/appalachian-state/2014.html" 2013
"140" "Appalachian State Mountaineers" "2012-13" "http://www.sports-reference.com/cbb/schools/appalachian-state/2013.html" 2012
"141" "Appalachian State Mountaineers" "2011-12" "http://www.sports-reference.com/cbb/schools/appalachian-state/2012.html" 2011
"142" "Appalachian State Mountaineers" "2010-11" "http://www.sports-reference.com/cbb/schools/appalachian-state/2011.html" 2010
"143" "Appalachian State Mountaineers" "2009-10" "http://www.sports-reference.com/cbb/schools/appalachian-state/2010.html" 2009
"144" "Appalachian State Mountaineers" "2008-09" "http://www.sports-reference.com/cbb/schools/appalachian-state/2009.html" 2008
"145" "Appalachian State Mountaineers" "2007-08" "http://www.sports-reference.com/cbb/schools/appalachian-state/2008.html" 2007
"146" "Appalachian State Mountaineers" "2006-07" "http://www.sports-reference.com/cbb/schools/appalachian-state/2007.html" 2006
"147" "Appalachian State Mountaineers" "2005-06" "http://www.sports-reference.com/cbb/schools/appalachian-state/2006.html" 2005
"148" "Appalachian State Mountaineers" "2004-05" "http://www.sports-reference.com/cbb/schools/appalachian-state/2005.html" 2004
"149" "Appalachian State Mountaineers" "2003-04" "http://www.sports-reference.com/cbb/schools/appalachian-state/2004.html" 2003
"150" "Appalachian State Mountaineers" "2002-03" "http://www.sports-reference.com/cbb/schools/appalachian-state/2003.html" 2002
"151" "Appalachian State Mountaineers" "2001-02" "http://www.sports-reference.com/cbb/schools/appalachian-state/2002.html" 2001
"152" "Appalachian State Mountaineers" "2000-01" "http://www.sports-reference.com/cbb/schools/appalachian-state/2001.html" 2000
"153" "Arizona State Sun Devils" "2014-15" "http://www.sports-reference.com/cbb/schools/arizona-state/2015.html" 2014
"154" "Arizona State Sun Devils" "2013-14" "http://www.sports-reference.com/cbb/schools/arizona-state/2014.html" 2013
"155" "Arizona State Sun Devils" "2012-13" "http://www.sports-reference.com/cbb/schools/arizona-state/2013.html" 2012
"156" "Arizona State Sun Devils" "2011-12" "http://www.sports-reference.com/cbb/schools/arizona-state/2012.html" 2011
"157" "Arizona State Sun Devils" "2010-11" "http://www.sports-reference.com/cbb/schools/arizona-state/2011.html" 2010
"158" "Arizona State Sun Devils" "2009-10" "http://www.sports-reference.com/cbb/schools/arizona-state/2010.html" 2009
"159" "Arizona State Sun Devils" "2008-09" "http://www.sports-reference.com/cbb/schools/arizona-state/2009.html" 2008
"160" "Arizona State Sun Devils" "2007-08" "http://www.sports-reference.com/cbb/schools/arizona-state/2008.html" 2007
"161" "Arizona State Sun Devils" "2006-07" "http://www.sports-reference.com/cbb/schools/arizona-state/2007.html" 2006
"162" "Arizona State Sun Devils" "2005-06" "http://www.sports-reference.com/cbb/schools/arizona-state/2006.html" 2005
